TAR,FAR,FRR,F1,Precision,Recall,AUC,EER,test_EER_threshold,decision_threshold,user,tier,model,threshold_policy,calibration_EER,calibration_FAR_at_threshold,calibration_TAR_at_threshold,seed
0.7987421383647799,0.37748344370860926,0.20125786163522014,0.7839506172839507,0.7696969696969697,0.7987421383647799,0.7921473891735044,0.27953406361503325,0.41215104203706615,0.2915145435707603,user12,T2,T2_GradientBoosting,calibration_EER,0.1216094032549729,,,0
0.7547169811320755,0.3211920529801324,0.24528301886792453,0.7708779443254818,0.787746170678337,0.7547169811320755,0.7921473891735044,0.27953406361503325,0.41215104203706615,0.36151154533744784,user12,T2,T2_GradientBoosting,calibration_FAR<=0.10,,0.09968354430379747,0.8318264014466547,0
0.7547169811320755,0.3211920529801324,0.24528301886792453,0.7708779443254818,0.787746170678337,0.7547169811320755,0.7921473891735044,0.27953406361503325,0.41215104203706615,0.36151154533744784,user12,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.8318264014466547,0
0.6918238993710691,0.2185430463576159,0.3081761006289308,0.7560137457044673,0.8333333333333334,0.6918238993710691,0.8174365168617324,0.2553660432893221,0.39908966422080994,0.5,user12,T2,T2_XGBoost,default_0.5,,,,0
0.8364779874213837,0.38079470198675497,0.16352201257861634,0.805247225025227,0.7762645914396887,0.8364779874213837,0.8174365168617324,0.2553660432893221,0.39908966422080994,0.24748706817626953,user12,T2,T2_XGBoost,calibration_EER,0.11053345388788424,,,0
0.8259958071278826,0.3443708609271523,0.1740041928721174,0.8082051282051282,0.7911646586345381,0.8259958071278826,0.8174365168617324,0.2553660432893221,0.39908966422080994,0.2673075795173645,user12,T2,T2_XGBoost,calibration_FAR<=0.10,,0.09968354430379747,0.8842676311030742,0
0.8259958071278826,0.3443708609271523,0.1740041928721174,0.8082051282051282,0.7911646586345381,0.8259958071278826,0.8174365168617324,0.2553660432893221,0.39908966422080994,0.2673075795173645,user12,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.8842676311030742,0
0.8092243186582809,0.32450331125827814,0.19077568134171907,0.8033298647242456,0.7975206611570248,0.8092243186582809,0.823996556846738,0.2537104141502492,0.5936139225959778,0.5,user12,T3,T3_1D_CNN,default_0.5,,,,0
0.8448637316561844,0.3576158940397351,0.15513626834381553,0.8157894736842105,0.7886497064579256,0.8448637316561844,0.823996556846738,0.2537104141502492,0.5936139225959778,0.46409955620765686,user12,T3,T3_1D_CNN,calibration_EER,0.11392405063291142,,,0
0.7924528301886793,0.31125827814569534,0.20754716981132076,0.7966280295047419,0.8008474576271186,0.7924528301886793,0.823996556846738,0.2537104141502492,0.5936139225959778,0.5158219933509827,user12,T3,T3_1D_CNN,calibration_FAR<=0.10,,0.09968354430379747,0.8553345388788427,0
0.7924528301886793,0.31125827814569534,0.20754716981132076,0.7966280295047419,0.8008474576271186,0.7924528301886793,0.823996556846738,0.2537104141502492,0.5936139225959778,0.5158219933509827,user12,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,,0.09968354430379747,0.8553345388788427,0
0.8421052631578947,0.7284768211920529,0.15789473684210525,0.5614035087719298,0.42105263157894735,0.8421052631578947,0.6450950776499749,0.3901010805158592,0.5837386883950744,0.5,user15,T0,T0_DistanceProfile,default_0.5,,,,0
0.712280701754386,0.5055187637969095,0.28771929824561404,0.5662482566248257,0.4699074074074074,0.712280701754386,0.6450950776499749,0.3901010805158592,0.5837386883950744,0.5593167105065612,user15,T0,T0_DistanceProfile,calibration_EER,0.48825821695584704,,,0
0.29473684210526313,0.09933774834437085,0.7052631578947368,0.4057971014492754,0.6511627906976745,0.29473684210526313,0.6450950776499749,0.3901010805158592,0.5837386883950744,0.6455099028719449,user15,T0,T0_DistanceProfile,calibration_FAR<=0.10,,0.1,0.1774580335731415,0
0.29473684210526313,0.09933774834437085,0.7052631578947368,0.4057971014492754,0.6511627906976745,0.29473684210526313,0.6450950776499749,0.3901010805158592,0.5837386883950744,0.6455099028719449,user15,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,,0.1,0.1774580335731415,0
0.8807017543859649,0.20309050772626933,0.11929824561403508,0.7993630573248408,0.7317784256559767,0.8807017543859649,0.9062468533364315,0.16127570582084347,0.638725810710479,0.5,user15,T1,T1_LogReg,default_0.5,,,,0
0.8771929824561403,0.18984547461368653,0.12280701754385964,0.8051529790660226,0.7440476190476191,0.8771929824561403,0.9062468533364315,0.16127570582084347,0.638725810710479,0.5463653561858437,user15,T1,T1_LogReg,calibration_EER,0.09308611933982225,,,0
0.8807017543859649,0.19205298013245034,0.11929824561403508,0.8057784911717496,0.742603550295858,0.8807017543859649,0.9062468533364315,0.16127570582084347,0.638725810710479,0.5189544175110958,user15,T1,T1_LogReg,calibration_FAR<=0.10,,0.1,0.9160671462829736,0
0.8807017543859649,0.19205298013245034,0.11929824561403508,0.8057784911717496,0.742603550295858,0.8807017543859649,0.9062468533364315,0.16127570582084347,0.638725810710479,0.5189544175110958,user15,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,,0.1,0.9160671462829736,0
0.7333333333333333,0.11258278145695365,0.26666666666666666,0.7669724770642202,0.8038461538461539,0.7333333333333333,0.9124511056891678,0.18394330196351807,0.34082943259809056,0.5,user15,T1,T1_SVM_RBF,default_0.5,,,,0
0.8771929824561403,0.24061810154525387,0.12280701754385964,0.7763975155279503,0.6963788300835655,0.8771929824561403,0.9124511056891678,0.18394330196351807,0.34082943259809056,0.22874026886775292,user15,T1,T1_SVM_RBF,calibration_EER,0.11343630977570882,,,0
