user,tier,model,threshold_policy,attack_type,seed,accept_threshold,bypass_rate_window,bypass_rate_session
user20,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.33636221289634705,0.19008264462809918,0.0
user20,T3,T3_1D_CNN,calibration_FAR<=0.10,windmouse,0,0.5031062364578247,0.35537190082644626,0.3
user20,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.5031062364578247,0.35537190082644626,0.3
user21,T0,T0_DistanceProfile,calibration_FAR<=0.10,windmouse,0,0.6478493157571746,0.0,0.0
user21,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6478493157571746,0.0,0.0
user21,T1,T1_LogReg,calibration_FAR<=0.10,windmouse,0,0.45469142270588087,0.0,0.0
user21,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.45469142270588087,0.0,0.0
user21,T1,T1_SVM_RBF,calibration_FAR<=0.10,windmouse,0,0.12324012357629341,0.0,0.0
user21,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.12324012357629341,0.0,0.0
user21,T1,T1_kNN,calibration_FAR<=0.10,windmouse,0,0.6,0.0,0.0
user21,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6,0.0,0.0
user21,T1,T1_DecisionTree,calibration_FAR<=0.10,windmouse,0,1.0,0.008264462809917356,0.0
user21,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,windmouse,0,1.0,0.008264462809917356,0.0
user21,T2,T2_RandomForest,calibration_FAR<=0.10,windmouse,0,0.22,0.0,0.0
user21,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.22,0.0,0.0
user21,T2,T2_ExtraTrees,calibration_FAR<=0.10,windmouse,0,0.25,0.0,0.0
user21,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.25,0.0,0.0
user21,T2,T2_GradientBoosting,calibration_FAR<=0.10,windmouse,0,0.1370021086423507,0.0,0.0
user21,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.1370021086423507,0.0,0.0
user21,T2,T2_XGBoost,calibration_FAR<=0.10,windmouse,0,0.08724819868803024,0.0,0.0
user21,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.08724819868803024,0.0,0.0
user21,T3,T3_1D_CNN,calibration_FAR<=0.10,windmouse,0,0.5257570147514343,0.008264462809917356,0.0
user21,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.5257570147514343,0.008264462809917356,0.0
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10,windmouse,0,0.6507205609319365,0.0,0.0
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6507205609319365,0.0,0.0
user23,T1,T1_LogReg,calibration_FAR<=0.10,windmouse,0,0.8145004029378342,0.6942148760330579,0.85
user23,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.8145004029378342,0.6942148760330579,0.85
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10,windmouse,0,0.6272095834461013,0.024793388429752067,0.0
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6272095834461013,0.024793388429752067,0.0
user23,T1,T1_kNN,calibration_FAR<=0.10,windmouse,0,0.8,0.21487603305785125,0.05
user23,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.8,0.21487603305785125,0.05
user23,T1,T1_DecisionTree,calibration_FAR<=0.10,windmouse,0,1.0000000000000002,0.0,0.0
user23,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,windmouse,0,1.0000000000000002,0.0,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10,windmouse,0,0.4166666666666667,0.09090909090909091,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.4166666666666667,0.09090909090909091,0.0
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10,windmouse,0,0.45,0.4462809917355372,0.5
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.45,0.4462809917355372,0.5
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10,windmouse,0,0.5152645980934705,0.8760330578512396,1.0
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.5152645980934705,0.8760330578512396,1.0
user23,T2,T2_XGBoost,calibration_FAR<=0.10,windmouse,0,0.5385617017745972,0.8677685950413223,1.0
user23,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.5385617017745972,0.8677685950413223,1.0
user23,T3,T3_1D_CNN,calibration_FAR<=0.10,windmouse,0,0.3588799238204956,0.09090909090909091,0.05
user23,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.3588799238204956,0.09090909090909091,0.05
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10,windmouse,0,0.6318235594934214,0.0,0.0
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.6318235594934214,0.0,0.0
user29,T1,T1_LogReg,calibration_FAR<=0.10,windmouse,0,0.48314467779885867,0.08264462809917356,0.0
user29,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.48314467779885867,0.08264462809917356,0.0
user29,T1,T1_SVM_RBF,calibration_FAR<=0.10,windmouse,0,0.14426302471224883,0.0,0.0
user29,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.14426302471224883,0.0,0.0
user29,T1,T1_kNN,calibration_FAR<=0.10,windmouse,0,0.4,0.0743801652892562,0.0
user29,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.4,0.0743801652892562,0.0
user29,T1,T1_DecisionTree,calibration_FAR<=0.10,windmouse,0,1.0,0.024793388429752067,0.0
user29,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,windmouse,0,1.0,0.024793388429752067,0.0
user29,T2,T2_RandomForest,calibration_FAR<=0.10,windmouse,0,0.17,0.5537190082644629,0.7
user29,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.17,0.5537190082644629,0.7
user29,T2,T2_ExtraTrees,calibration_FAR<=0.10,windmouse,0,0.18333333333333332,0.256198347107438,0.05
user29,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.18333333333333332,0.256198347107438,0.05
user29,T2,T2_GradientBoosting,calibration_FAR<=0.10,windmouse,0,0.1396086621600428,0.5041322314049587,0.55
user29,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.1396086621600428,0.5041322314049587,0.55
user29,T2,T2_XGBoost,calibration_FAR<=0.10,windmouse,0,0.07279977202415466,0.2231404958677686,0.1
user29,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,windmouse,0,0.07279977202415466,0.2231404958677686,0.1
