user,tier,model,threshold_policy,seed,accept_threshold,n_genuine_sessions,n_imposter_sessions,TAR_window,TAR_session,FAR_window,FAR_session
user23,T1,T1_LogReg,calibration_FAR<=0.10,0,0.8145004029378342,38,33,0.4041666666666667,0.39473684210526316,0.06477732793522267,0.0
user23,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.8145004029378342,38,33,0.4041666666666667,0.39473684210526316,0.06477732793522267,0.0
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.6272095834461013,38,33,0.4375,0.42105263157894735,0.07692307692307693,0.0
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.6272095834461013,38,33,0.4375,0.42105263157894735,0.07692307692307693,0.0
user23,T1,T1_kNN,calibration_FAR<=0.10,0,0.8,38,33,0.2375,0.13157894736842105,0.05668016194331984,0.030303030303030304
user23,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.8,38,33,0.2375,0.13157894736842105,0.05668016194331984,0.030303030303030304
user23,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0000000000000002,38,33,0.0,0.0,0.0,0.0
user23,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0000000000000002,38,33,0.0,0.0,0.0,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.4166666666666667,38,33,0.5833333333333334,0.6842105263157895,0.06477732793522267,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.4166666666666667,38,33,0.5833333333333334,0.6842105263157895,0.06477732793522267,0.0
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.45,38,33,0.5166666666666667,0.6052631578947368,0.05668016194331984,0.0
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.45,38,33,0.5166666666666667,0.6052631578947368,0.05668016194331984,0.0
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.5152645980934705,38,33,0.6,0.7105263157894737,0.0728744939271255,0.0
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.5152645980934705,38,33,0.6,0.7105263157894737,0.0728744939271255,0.0
user23,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.5385617017745972,38,33,0.6458333333333334,0.7631578947368421,0.08097165991902834,0.030303030303030304
user23,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.5385617017745972,38,33,0.6458333333333334,0.7631578947368421,0.08097165991902834,0.030303030303030304
user23,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.3588799238204956,38,33,0.21666666666666667,0.13157894736842105,0.06882591093117409,0.06060606060606061
user23,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.3588799238204956,38,33,0.21666666666666667,0.13157894736842105,0.06882591093117409,0.06060606060606061
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6318235594934214,43,20,0.4763779527559055,0.627906976744186,0.20833333333333334,0.1
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6318235594934214,43,20,0.4763779527559055,0.627906976744186,0.20833333333333334,0.1
user29,T1,T1_LogReg,calibration_FAR<=0.10,0,0.48314467779885867,43,20,0.8307086614173228,0.9069767441860465,0.4,0.45
user29,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.48314467779885867,43,20,0.8307086614173228,0.9069767441860465,0.4,0.45
user29,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.14426302471224883,43,20,0.8543307086614174,0.9302325581395349,0.4166666666666667,0.55
user29,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.14426302471224883,43,20,0.8543307086614174,0.9302325581395349,0.4166666666666667,0.55
user29,T1,T1_kNN,calibration_FAR<=0.10,0,0.4,43,20,0.6771653543307087,0.7441860465116279,0.275,0.15
user29,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.4,43,20,0.6771653543307087,0.7441860465116279,0.275,0.15
user29,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0,43,20,0.5393700787401575,0.5581395348837209,0.23333333333333334,0.05
user29,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0,43,20,0.5393700787401575,0.5581395348837209,0.23333333333333334,0.05
user29,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.17,43,20,0.8779527559055118,0.9302325581395349,0.425,0.5
user29,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.17,43,20,0.8779527559055118,0.9302325581395349,0.425,0.5
user29,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.18333333333333332,43,20,0.8582677165354331,0.8837209302325582,0.425,0.5
user29,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.18333333333333332,43,20,0.8582677165354331,0.8837209302325582,0.425,0.5
user29,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.1396086621600428,43,20,0.8188976377952756,0.8837209302325582,0.38333333333333336,0.4
user29,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.1396086621600428,43,20,0.8188976377952756,0.8837209302325582,0.38333333333333336,0.4
user29,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.07279977202415466,43,20,0.8858267716535433,0.9534883720930233,0.43333333333333335,0.5
user29,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.07279977202415466,43,20,0.8858267716535433,0.9534883720930233,0.43333333333333335,0.5
user29,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.03752579912543297,43,20,0.8543307086614174,0.9302325581395349,0.31666666666666665,0.25
user29,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.05,43,20,0.8307086614173228,0.9302325581395349,0.2916666666666667,0.25
user35,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6720827123934674,35,73,0.12446351931330472,0.05714285714285714,0.07954545454545454,0.04225352112676056
user35,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6720827123934674,35,73,0.12446351931330472,0.05714285714285714,0.07954545454545454,0.04225352112676056
user35,T1,T1_LogReg,calibration_FAR<=0.10,0,0.8086445676423178,35,73,0.3905579399141631,0.3142857142857143,0.08181818181818182,0.028169014084507043
user35,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.8086445676423178,35,73,0.3905579399141631,0.3142857142857143,0.08181818181818182,0.028169014084507043
user35,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.6026231655701276,35,73,0.45493562231759654,0.45714285714285713,0.08409090909090909,0.04225352112676056
user35,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.6026231655701276,35,73,0.45493562231759654,0.45714285714285713,0.08409090909090909,0.04225352112676056
user35,T1,T1_kNN,calibration_FAR<=0.10,0,0.8,35,73,0.19313304721030042,0.11428571428571428,0.05909090909090909,0.028169014084507043
user35,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.8,35,73,0.19313304721030042,0.11428571428571428,0.05909090909090909,0.028169014084507043
user35,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0000000000000002,35,73,0.0,0.0,0.0,0.0
user35,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0000000000000002,35,73,0.0,0.0,0.0,0.0
user35,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.4766666666666667,35,73,0.4248927038626609,0.34285714285714286,0.06136363636363636,0.028169014084507043
user35,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.4766666666666667,35,73,0.4248927038626609,0.34285714285714286,0.06136363636363636,0.028169014084507043
user35,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.44,35,73,0.44206008583690987,0.4,0.07954545454545454,0.028169014084507043
user35,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.44,35,73,0.44206008583690987,0.4,0.07954545454545454,0.028169014084507043
user35,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.530599794717795,35,73,0.49356223175965663,0.5142857142857142,0.08863636363636364,0.04225352112676056
user35,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.530599794717795,35,73,0.49356223175965663,0.5142857142857142,0.08863636363636364,0.04225352112676056
user35,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.5789622664451599,35,73,0.5064377682403434,0.5142857142857142,0.07727272727272727,0.028169014084507043
user35,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.5789622664451599,35,73,0.5064377682403434,0.5142857142857142,0.07727272727272727,0.028169014084507043
user35,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.39755910634994507,35,73,0.2875536480686695,0.14285714285714285,0.07954545454545454,0.056338028169014086
user35,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.39755910634994507,35,73,0.2875536480686695,0.14285714285714285,0.07954545454545454,0.056338028169014086
user7,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.5377522121338165,36,37,0.8109090909090909,0.9166666666666666,0.014705882352941176,0.0
user7,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.5377522121338165,36,37,0.8109090909090909,0.9166666666666666,0.014705882352941176,0.0
user7,T1,T1_LogReg,calibration_FAR<=0.10,0,0.3007562199327781,36,37,0.9854545454545455,1.0,0.00980392156862745,0.0
user7,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.3007562199327781,36,37,0.9854545454545455,1.0,0.00980392156862745,0.0
user7,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.16853660167568363,36,37,0.9818181818181818,1.0,0.0,0.0
user7,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.16853660167568363,36,37,0.9818181818181818,1.0,0.0,0.0
user7,T1,T1_kNN,calibration_FAR<=0.10,0,0.4,36,37,0.9563636363636364,1.0,0.0,0.0
user7,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.4,36,37,0.9563636363636364,1.0,0.0,0.0
user7,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0,36,37,0.8036363636363636,0.9444444444444444,0.0,0.0
user7,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0,36,37,0.8036363636363636,0.9444444444444444,0.0,0.0
user7,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.17666666666666667,36,37,0.9890909090909091,1.0,0.004901960784313725,0.0
user7,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.17666666666666667,36,37,0.9890909090909091,1.0,0.004901960784313725,0.0
user7,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.25666666666666665,36,37,0.9890909090909091,1.0,0.0,0.0
user7,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.25666666666666665,36,37,0.9890909090909091,1.0,0.0,0.0
user7,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.04670934586993639,36,37,0.9963636363636363,1.0,0.004901960784313725,0.0
user7,T2,T2_GradientBoosting,calibration_FAR<=0.10_floor_0.05,0,0.05,36,37,0.9963636363636363,1.0,0.004901960784313725,0.0
user7,T2,T2_XGBoost,calibration_FAR<=0.10,0,0.02691071107983589,36,37,0.9927272727272727,1.0,0.004901960784313725,0.0
user7,T2,T2_XGBoost,calibration_FAR<=0.10_floor_0.05,0,0.05,36,37,0.9927272727272727,1.0,0.004901960784313725,0.0
user7,T3,T3_1D_CNN,calibration_FAR<=0.10,0,0.2392570525407791,36,37,0.9927272727272727,1.0,0.00980392156862745,0.0
user7,T3,T3_1D_CNN,calibration_FAR<=0.10_floor_0.05,0,0.2392570525407791,36,37,0.9927272727272727,1.0,0.00980392156862745,0.0
