user,tier,model,threshold_policy,attack_type,seed,accept_threshold,bypass_rate_window,bypass_rate_session
user9,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6509325898901018,0.0,0.0
user9,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.11997613609729514,0.016666666666666666,0.0
user9,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.04183111761751193,0.9916666666666667,1.0
user9,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,0.6,0.016666666666666666,0.0
user9,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.0,0.37083333333333335,0.25
user9,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.14666666666666667,0.0,0.0
user9,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.15666666666666668,0.19166666666666668,0.0
user9,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.06706525573274713,0.4583333333333333,0.6
user9,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.018225446343421936,0.0125,0.0
user9,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,2.367550587223377e-05,0.4625,0.45
user12,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.6844978327446893,0.0,0.0
user12,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.734002974179301,0.08333333333333333,0.0
user12,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.7511315423368196,0.0,0.0
user12,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,1.0,0.1375,0.0
user12,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user12,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,1,0.69,0.004166666666666667,0.0
user12,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,1,0.7,0.16666666666666666,0.0
user12,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,1,0.6887593951385911,0.0,0.0
user12,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,1,0.7178846001625061,0.058333333333333334,0.0
user12,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,1,0.7845514416694641,0.4666666666666667,0.55
user15,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.6782748817828708,0.0,0.0
user15,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.7362612182542368,0.0375,0.0
user15,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.7823658243540601,0.0,0.0
user15,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,1.0,0.008333333333333333,0.0
user15,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user15,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,1,0.6833333333333333,0.025,0.0
user15,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,1,0.7,0.03333333333333333,0.0
user15,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,1,0.7230315817394938,0.0,0.0
user15,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,1,0.7614246010780334,0.041666666666666664,0.0
user15,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,1,0.4476315975189209,0.2791666666666667,0.0
user16,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.7081176775554989,0.0,0.0
user16,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.7571425386788686,0.0,0.0
user16,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.7753620029192048,0.0,0.0
user16,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,1.0,0.14166666666666666,0.0
user16,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user16,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,1,0.7233333333333334,0.0125,0.0
user16,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,1,0.7333333333333333,0.0,0.0
user16,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,1,0.7365503264832955,0.058333333333333334,0.0
user16,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,1,0.7528771758079529,0.22916666666666666,0.0
user16,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,1,0.5510481595993042,0.0,0.0
user20,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,1,0.6753780576055172,0.0,0.0
user20,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,1,0.7118153328324461,0.09583333333333334,0.0
user20,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,1,0.750163371745213,0.0,0.0
user20,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,1,1.0,0.004166666666666667,0.0
user20,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,1,1.000000001,0.0,0.0
user20,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,1,0.6433333333333333,0.0,0.0
user20,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,1,0.67,0.0,0.0
user20,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,1,0.7067020566232758,0.008333333333333333,0.0
user20,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,1,0.69318687915802,0.004166666666666667,0.0
user20,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,1,0.5235840678215027,0.0,0.0
